name,iata_code,latitude,longitude,municipality,country
Utirik Airport,UTK,11.222219,169.851429,Utirik Island,MH
Nunapitchuk Airport,NUP,60.905591,-162.440454,Nunapitchuk,US
Blakely Island Airport,BYW,48.579162,-122.823844,Blakely Island,US
Atmautluak Airport,ATT,60.866699,-162.272996,Atmautluak,US
Pedro Bay Airport,PDB,59.796925,-154.129994,Pedro Bay,US
Ouzinkie Airport,KOZ,57.942094,-152.464314,Ouzinkie,US
Tununak Airport,TNK,60.569638,-165.246649,Tununak,US
Minto Al Wright Airport,MNT,65.147991,-149.368658,Minto,US
Aleknagik / New Airport,WKK,59.2826004028,-158.617996216,Aleknagik,US
Center Island Airport,CWS,48.490046,-122.831612,Center Island,US
Tatitlek Airport,TEK,60.871449,-146.690297,Tatitlek,US
Stuart Island Airpark,SSW,48.673379,-123.175439,Friday Harbor,US
Waldron Airstrip,WDN,48.71141,-123.018208,Eastsound,US
Chuathbaluk Airport,CHU,61.579102,-159.216003,Chuathbaluk,US
Tuntutuliak Airport,WTL,60.351243,-162.654476,Tuntutuliak,US
Twin Hills Airport,TWA,59.074713,-160.274992,Twin Hills,US
Chignik Lake Airport,KCQ,56.2550010681,-158.774993896,Chignik Lake,US
Gwaunaru'u Airport,AKS,-8.70257,160.682007,Auki,SB
Bellona/Anua Airport,BNY,-11.3022222222,159.798333333,Anua,SB
Choiseul Bay Airport,CHY,-6.711944,156.396111,Choiseul Bay,SB
Ballalae Airport,BAS,-6.990745,155.886656,Ballalae,SB
Fera/Maringe Airport,FRE,-8.1075,159.576996,Fera Island,SB
Honiara International Airport,HIR,-9.428,160.054993,Honiara,SB
Ngorangora Airport,IRA,-10.4497003555,161.897994995,Kirakira,SB
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,-10.7203,165.794998,Santa Cruz/Graciosa Bay/Luova,SB
Munda Airport,MUA,-8.32797,157.263,Munda,SB
Nusatupe Airport,GZO,-8.09778022766,156.863998413,Gizo,SB
Mono Airport,MNY,-7.416940212249756,155.56500244140625,Stirling Island,SB
Rennell/Tingoa Airport,RNL,-11.55,160.062778,Rennell Island,SB
Santa Ana Airport,NNB,-10.847994,162.454108,Santa Ana Island,SB
Marau Airport,RUS,-9.86166954041,160.824996948,Marau,SB
Suavanao Airport,VAO,-7.58556,158.731003,Suavanao,SB
Yandina Airport,XYA,-9.092816,159.21841,Yandina,SB
Kaghau Airport,KGE,-7.3305,157.585,Kagau Island,SB
Manaoba Airport,MHM,-8.325008,160.80051,Manaoba,SB
Gatokae Aerodrome,GTA,-8.738358,158.202836,Gatokae,SB
Ramata Airport,RBV,-8.168060302734375,157.64300537109375,Ramata,SB
Nauru International Airport,INU,-0.547458,166.919006,Yaren District,NR
Gruyere Airport,GYZ,-28.034548,123.81506,Cosmo Newbery,AU
Alxa Left Banner Bayanhot Airport,AXF,38.74831,105.58858,Bayanhot,CN
Baimuru Airport,VMU,-7.49686002731,144.819900513,Baimuru,PG
Buka Airport,BUA,-5.422319889068604,154.67300415039062,Buka Island,PG
Balimo Airport,OPU,-8.05000019073,142.932998657,Balimo,PG
Chimbu Airport,CMU,-6.024290084838867,144.9709930419922,Kundiawa,PG
Daru Airport,DAU,-9.08676,143.207993,Daru,PG
Bosset Airport,BOT,-7.237257,141.1063222,Bosset,PG
Goroka Airport,GKA,-6.081689834590001,145.391998291,Goronka,PG
Gurney Airport,GUR,-10.3114995956,150.333999634,Gurney,PG
Girua Airport,PNP,-8.80453968048,148.309005737,Popondetta,PG
Gasmata Island Airport,GMI,-6.27111005783,150.330993652,Gasmata Island,PG
Hoskins Airport,HKN,-5.463846,150.407327,Kimbe,PG
Aropa Airport,KIE,-6.305417,155.728139,Kieta,PG
Losuia Airport,LSA,-8.505820274353027,151.08099365234375,Losuia,PG
Kiunga Airport,UNG,-6.1257100105285645,141.28199768066406,Kiunga,PG
Kikori Airport,KRI,-7.42438,144.250076,Kikori,PG
Kerema Airport,KMA,-7.96361017227,145.770996094,Kerema,PG
Kavieng Airport,KVG,-2.57940006256,150.807998657,Kavieng,PG
Londolovit Airport,LNV,-3.04361009598,152.628997803,Londolovit,PG
Madang Airport,MAG,-5.20707988739,145.789001465,Madang,PG
Mount Hagen Kagamuga Airport,HGU,-5.828212,144.299412,Mount Hagen,PG
Mendi Airport,MDU,-6.14774,143.656998,Mendi,PG
Momote Airport,MAS,-2.06189,147.423996,Manus Island,PG
Moro Airport,MXH,-6.36332988739,143.238006592,Moro,PG
Misima Island Airport,MIS,-10.6892004013,152.837997437,Misima Island,PG
Nadzab Airport,LAE,-6.569803,146.725977,Lae,PG
Obo Airport,OBX,-7.590622421369999,141.324262619,Obo,PG
Port Moresby Jacksons International Airport,POM,-9.44338035583496,147.22000122070312,Port Moresby,PG
Sasereme Airport,TDS,-7.6217,142.868,Sasereme,PG
Tari Airport,TIZ,-5.845,142.947998,Tari,PG
Tabubil Airport,TBG,-5.280471,141.227576,Tabubil,PG
Tapini Airport,TPI,-8.35666666667,146.989166667,Tapini,PG
Tokua Airport,RAB,-4.34046,152.380005,Kokopo,PG
Tufi Airport,TFI,-9.07595443726,149.319839478,Tufi,PG
Vanimo Airport,VAI,-2.6926,141.3028,Vanimo,PG
Wapenamanda Airport,WBM,-5.635293,143.892231,Wapenamanda,PG
Wewak International Airport,WWK,-3.58383011818,143.669006348,Wewak,PG
Aasiaat Airport,JEG,68.721802,-52.784698,Aasiaat,GL
Narsarsuaq Airport,UAK,61.1605,-45.425999,Narsarsuaq,GL
Neerlerit Inaat Airport,CNP,70.743103,-22.650499,Neerlerit Inaat,GL
Nuuk Airport,GOH,64.191066,-51.67914,Nuuk,GL
Ilulissat Airport,JAV,69.243202,-51.057098,Ilulissat,GL
Kulusuk Airport,KUS,65.573601,-37.1236,Kulusuk,GL
Maniitsoq Airport,JSU,65.412498,-52.9394,Maniitsoq,GL
Paamiut Airport,JFR,62.014736,-49.670937,Paamiut,GL
Qaanaaq Airport,NAQ,77.488602,-69.388702,Qaanaaq,GL
Kangerlussuaq Airport,SFJ,67.010446,-50.715294,Kangerlussuaq,GL
Sisimiut Airport,JHS,66.951302,-53.729301,Sisimiut,GL
Pituffik Space Base,THU,76.531197,-68.703201,Pituffik,GL
Upernavik Airport,JUV,72.790199,-56.1306,Upernavik,GL
Qaarsut Airport,JQA,70.7342,-52.696201,Uummannaq,GL
Akureyri Airport,AEY,65.656573,-18.072018,Akureyri,IS
Egilsstaðir Airport,EGS,65.2833023071289,-14.401399612426758,Egilsstaðir,IS
Grímsey Airport,GRY,66.5458,-18.0173,Grímsey,IS
Hornafjörður Airport,HFN,64.295601,-15.2272,Höfn,IS
Húsavík Airport,HZK,65.952301,-17.426001,Húsavík,IS
Ísafjörður Airport,IFJ,66.058098,-23.1353,Ísafjörður,IS
